Bug-ID;Project;Classification;Summary;Description;Link;Enviroment;Tags;Dataset
XALANC-11;XalanC;Other;Documentation comment for getVariable/getParamVariable incorrect;" The comment attached to getVariable & getParamVariable in the VariablesStack class says: ""Given a name, find the corresponding XObject. Since the variable may not yet have been evaluated, this may return a null XObjectPtr."" However, this is not the case. Both functions will evaluate the variable if necessary and return a non-null return.";https://issues.apache.org/jira/browse/XALANC-11?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE;;NABATS
SVN-491;Subversion;Other;svn status' needs better error reporting;"Consider the following example:  $ ll total 26 drwxr-xr-x   8 brane    None         4096 Sep 16 03:37 SVN -rw-r--r--   1 brane    None         8994 Sep  6 21:23 berkeley-db.m4 -rwxr-xr-x   1 brane    None          448 Aug 31 23:45 get-neon-ver.sh -rwxr-xr-x   1 brane    None         2021 Aug 31 23:45 gnu-diff.sh -rwxr-xr-x   1 brane    None         1113 Aug 31 23:45 gnu-patch.sh -rwxr-xr-x   1 brane    None         2631 Aug 31 23:45 install.sh -rw-r--r--   1 brane    None         3929 Sep  6 22:09 svn-apache.m4 -rw-r--r--   1 brane    None          625 Aug 31 23:45 svn-macros.m4 $ svn status dodo         ## (1)  svn_error: #21026 : <Can't find an entry>  svn_client_status: 'dodo' is not a versioned resource $ touch dodo $ svn status dodo         ## (2)  svn_error: #21010 : <Bogus filename>  svn_wc_statuses:  bogus path `dodo' $ mv install.sh moved-install.sh $ svn status install.sh   ## (3) $ svn status              ## (4) _    108     (   108)  . _    108     (   108)  .\.svnignore _    108     (   108)  .\berkeley-db.m4 _    108     (   108)  .\get-neon-ver.sh _    108     (   108)  .\gnu-diff.sh _    108     (   108)  .\gnu-patch.sh _    108     (   108)  .\svn-apache.m4 _    108     (   108)  .\svn-macros.m4    (1) O.K., the error message is fine. (2) Wrong. Should either print the same message as (1), or print          ?  dodo         to be consistent with update. (3, 4) Definitely wrong. ""status"" should notice and report that the      working file of a versioned resource is missing.";https://issues.apache.org/jira/browse/SVN-491?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE;;NABATS
FOP-57;FOP;Other;Multolingual support in converting xml - pdf;hi guys  i am using this fop tool to generate pdf from xml file.Everything is working for me well,except that i dont know how to go for multilinguial support.  Actually i need to insert some german characters in my pdf file ,which i need to put in my xsl file.  As of now it gives a runtime error saying xml char not supported.  Can anyone please tell me how to go about it.  I need to do it very urgently.please let me what iu should do to bring german characters in my pdf file.  Please do get back to me as soon as possible.  with regards vidhyakt;https://issues.apache.org/jira/browse/FOP-57?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE;;NABATS
VELOCITY-31;Velocity;Other;Velocity should provide an interface for explicit property retreival;"I think that there should be an interface with a method of something like  Object getVelocityProperty(String key);  that will provide for a way to manually determine what object to retrieve with a given property name. Currently, there is no good way to access hashtable- like structures without resorting to what essentially amounts to putting java code into the template. (i.e. ""$hash.get($key)"")...  Velocity should allow developers to implement an interface to get more control of velocity engine rendering, so that when the template calls for $obj.property, a check is made to see if an object is an instance of that interface. If not, the standard algorithm should be used to determine if this object has a getProperty() method. But if the object does implement the interface, Velocity would call getVelocityProperty(""property"") on it, and it would be up to the programmer to provide proper logic to return the property. (in a Hashtable wrapper, the method would contain one line:  return hash.get(key);  This will not only give the programmer more control and force them to pur less Java code into the template, but would also enable the developer to optimize the most frequently accessed types of objects for performance as it will reduce the need to perform reflection lookups.";https://issues.apache.org/jira/browse/VELOCITY-31?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE;;NABATS
SVN-2196;Subversion;Other;Translate svn-ref.tex to French;"I translated the Subversion quickref into French. Someone with better grammar skills probably needs to correct some mistakes and terms, and it's possible that some of the translations (""Working copy"" -> ""Bac ï¿½ sable"") which I pinched from various other sources (including Eclipse's CVS interface) are not the ones the French l10n team prefer to use.  Dave.  Original issue reported by bolsh";https://issues.apache.org/jira/browse/SVN-2196?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE;;NABATS
TOMAHAWK-363;My Face Tomahawk;Other;better customisation features for schedule component;all css classes can now be overridden using component attributes ï¿½ I have completely rewritten the examples. There are now 4 of them, each demonstrating a different feature ï¿½ the themeing mechanism has changed: instead of using the theme id to determine which css file to load, the theme id is now added to the schedule div css class as a suffix: e.g. schedule-detailed-default, schedule-detailed-outlookxp, schedule-detailed-evolution, ... This makes it easier to use a custom theme: just copy the appriopriate content of the schedule.css file to your own css, and add a suffix to schedule-detailed and schedule-compact ï¿½ introduced the ScheduleEntryRenderer, which renders the content of a schedule entry. By writing an implementation of this interface, it is now possible to customize what is rendered inside a schedule entry. Using this mechanism, you can now also assign different colors to the entries of different persons. I think this is a better solution than the patch introduced by bug nr. 976. The changes to the ScheduleModel that were made here, are therefore undone with this patch ï¿½ fixed a bug in the AbstractScheduleModel that sometimes caused the schedule to contain 0 days after submitting. ï¿½ added a property to the ScheduleModel, entrySelected, which returns true if an entry is currently selected. This is a convenience method which can for example be used in the 'rendered' or 'disabled' flag of a component. ï¿½ added methods to add and remove entries to the ScheduleModel interface.;https://issues.apache.org/jira/browse/TOMAHAWK-363?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE;;NABATS
565;Batik - Now in Jira;Other;Add error printouts to rasterizer;"Message from Aaron Digulla: When there is an error in one of the SVG files, the rasterizer only prints ""error writing file"" without some explanation what is wrong. Can you please add a flag like -DIAG or something that prints the whole exception ? --";565;APACHE;;NABATS
71564;CDT;Other;TVT3.0: Missing link in CDT doc 'Debug Tutorial';"1. Go to C/C++ development User Guide 2. Expand ""Getting Started"" 3. Click on 'CDT Importing an Existing Project Tutorial' 4. Click 'Debugging Tutorial' The link cannot be found. See attached screenshot";https://bugs.eclipse.org/bugs/show_bug.cgi?id=71564;ECLIPSE;;NABATS
118981;Community;Other;Fix bugs in Phoenix css files and add support for greyed-out left nav menu items;While browsing through the Phoenix CSS, I discovered some missing commas and some missing class qualifiers. This patch fixes those, plus it adds a couple items for my upcoming project-specific left nav items (see bug 118282). Specifically, it adds support for left nav items that are greyed-out because the project does not support that item yet.;https://bugs.eclipse.org/bugs/show_bug.cgi?id=118981;ECLIPSE;;NABATS
130384;Community;Other;"""Top Ten Voted Bugs"" should include RESOLVED/LATER";"The ""Top Ten Voted Bugs"" should also include RESOLVED/LATER. In particular, the following bugs should be on the list: * bug 37154 - [Team] Support for subversion (93 votes) * bug 72487 - [Browser] Allow Firefox as browser widget (86 votes)";https://bugs.eclipse.org/bugs/show_bug.cgi?id=130384;ECLIPSE;;NABATS
243559;Dali JPA Tools;Other;Exchanging entity objects contents when renaming a certain entity;"If I have a JPA project with two or more JPA entities in it and I rename one of the entities, the result is that not only the corresponding underlying GenericJavaPersistentType object is renamed, but all the GenericJavaPersistentType objects are renamed in random manner and in result all these objects are becoming some other objects - they've exchanged their names and attributes. It sounds a little bit unclear, so please follow the steps described below to reproduce it. 1. Start IDE 2. Create a new 'Eclipse application' debug configuration and start it 3. In the debugged IDE open Java EE perspective 4. Create a new JPA project 5. In the first open IDE, in org.eclipse.jpt.core.internal.context.java.GenericJavaPersistentType put a break point at the beginning of the method 'setName(...)' 6. Create two (or more) JPA entities in this project and memorize or write down the debug ids of the newly created GenericJavaPersistentType objects 7. In the project explorer right-click of one of the entities source and select 'Refactor->Rename' 8. Rename the chosen entity with some new valid name Result: You will notice that not only the selected entity is renamed, but all of the entities are renamed. Something more - they will be renamed randomly with the new and old names. At the end of this you will have a consistent set of GenericJavaPersistentType objects, but with exchanged names (and attributes) For example: Let's say that after creation we have two entities: E1 - debug id: 169 E2 - debug id: 184 After renaming E1 to E111 we will have: E111 - debug id: 184 E2 - debug id: 169 (E1 became E2 and E2 became E111) NOTE: Sometimes all the entities are renamed exactly in the way they have to be renamed E1 becomes E111 and E2 becomes E2, so you may have to repeat the steps with the other object to reproduce the problem. It's a big blocker for my work, because I'm implementing a software module, which requires the PersistentType objects to stay the way they are - not to ""become some other"" objects. I'll try to implement a JUnit test ASAP which catches the problem.";https://bugs.eclipse.org/bugs/show_bug.cgi?id=243559;ECLIPSE;;NABATS
460657;ECP;Other;No Error on Missing View Model in Debug Mode;Missing view model in view model extension point in debug mode does not show any error.;https://bugs.eclipse.org/bugs/show_bug.cgi?id=460657;ECLIPSE;;NABATS
