Bug-ID;Project;Classification;Summary;Description
CC1;Others;Configuration;Log4j appenders for spring DependencyInjectionTestExecutionListener;Log4j appenders for spring DependencyInjectionTestExecutionListener
CC2;Nginx;Configuration;Nginx proxy configuration error: [crit] pread();Nginx proxy configuration error: [crit] pread()
CC3;Others;Configuration;Error: Configuration with name 'default' not found in Android Studio;Error: Configuration with name 'default' not found in Android Studio
CC4;MySQL;Configuration;mysql error 1429 federation;mysql error 1429 federation
CC5;MySQL;Configuration;periodic mysql lockup when wordpress is under heavy load;periodic mysql lockup when wordpress is under heavy load
CC6;Nginx;Configuration;PHP-FPM and continuos “exited on signal 11”，PHP 5.3.14 has a serious bug;PHP-FPM and continuos “exited on signal 11”, PHP 5.3.14 has a serious bug
CC7;Apache httpd;Configuration;Can't get PHP-FPM working so that multiple versions of php can be used;Can't get PHP-FPM working so that multiple versions of php can be used
CC8;PHP;Configuration;Apache fails to start after PHP upgrade on CentOS 6.5 x64;Apache fails to start after PHP upgrade on CentOS 6.5 x64
CC9;Apache httpd;Configuration;Configuring apache2-mpm-worker with php5;Configuring apache2-mpm-worker with php5
CC10;Others;Configuration;On AWS why does internal DNS lookup for RDS fail in PHP page?;On AWS why does internal DNS lookup for RDS fail in PHP page?
CC11;Others;Configuration;Improper configuration can leads to endless lease recovery during failover;Improper configuration can leads to endless lease recovery during failover
CC12;Others;Configuration;How to fix NullPointerException when getting current Hibernate Session;How to fix NullPointerException when getting current Hibernate Session
CC13;Others;Configuration;"Getting ""project"" nuget configuration is invalid error";"Getting ""project"" nuget configuration is invalid error"
CC14;Others;Configuration;Spring Web flow configuration error;Spring Web flow configuration error
CC15;Others;Configuration;Spring configuration error;Spring configuration error
CC16;Others;Configuration;Compiling CUDA examples gives build error;Compiling CUDA examples gives build error
CC17;Others;Configuration;Spring Security : configuration error;Spring Security : configuration error
CC18;PostgreSQL;Configuration;Django app with postgres backend throwing error in new set up (Azure VM);Django app with postgres backend throwing error in new set up (Azure VM)
CC19;PostgreSQL;Configuration;Symfony 2.7 cache:clear command checks every database connection;Symfony 2.7 cache:clear command checks every database connection
CC20;Hadoop;Configuration;Why can I not read from the AWS S3 in Spark application anymore?;Why can I not read from the AWS S3 in Spark application anymore?
CC21;Hadoop;Configuration;Cannot initialize Cluster. Please check your configuration for mapreduce.framework.name and the correspond server addresses-submiting job2remoteClustr;Cannot initialize Cluster. Please check your configuration for mapreduce.framework.name and the correspond server addresses-submiting job2remoteClustr
CC22;Hadoop;Configuration;Oozie war creation - Unsupported Hadoop version supported versions: 0.20.1, 0.20.2, 0.20.104, 0.20.200, 0.23.x and 2.x;Oozie war creation - Unsupported Hadoop version supported versions: 0.20.1, 0.20.2, 0.20.104, 0.20.200, 0.23.x and 2.x
CC23;Hadoop;Configuration;JMeter Hbase scan sampler fails with ClassNotFoundException exception;JMeter Hbase scan sampler fails with ClassNotFoundException exception
CC24;Others;Configuration;Configuration on demand is not supported by the current version of the Android Gradle plugin;Configuration on demand is not supported by the current version of the Android Gradle plugin
CC25;Apache httpd;Configuration;Cannot run Apache 2.4 with libapache2-mod-php5;Cannot run Apache 2.4 with libapache2-mod-php5
CC26;Nginx;Configuration;Installing LetsEncrypt SSL on Amazon Linux with Nginx + PHP-FPM gives “The connection was reset” error;Installing LetsEncrypt SSL on Amazon Linux with Nginx + PHP-FPM gives “The connection was reset” error
CC27;PHP;Configuration;Missing Dependency issue when trying to install apc extension for php;Missing Dependency issue when trying to install apc extension for php
CC28;Nginx;Configuration;PHP-FPM stops responding and dies;PHP-FPM stops responding and dies
CC29;Apache httpd;Configuration;apache crashes when php_mysql.dll is loaded;apache crashes when php_mysql.dll is loaded
CC30;PHP;Configuration;Error message with phpmyadmin when starting up apache;Error message with phpmyadmin when starting up apache
CC31;Others;Configuration;Lighttpd Virtual Host Error;Lighttpd Virtual Host Error
CC32;Others;Configuration;Puppet installs too many dependencies;Puppet installs too many dependencies
CC33;MySQL;Configuration;Failed to initialize pool， Initial client character set can be forced via the 'characterEncoding' property;Failed to initialize pool, Initial client character set can be forced via the 'characterEncoding' property
CC34;Nginx;Configuration;500 error on moving project to another server;500 error on moving project to another server
CC36;PostgreSQL;Configuration;Gitlab will not create Postgres instance on alternative port;Gitlab will not create Postgres instance on alternative port
CC37;Hadoop;Configuration;Unable to add a new service with Cloudera Manager within Cloudera Quickstart VM 5.3.0;Unable to add a new service with Cloudera Manager within Cloudera Quickstart VM 5.3.0
CC38;MySQL;Configuration;Error in sql connector configuration when connecting using Ballerina MYSQL Client;Error in sql connector configuration when connecting using Ballerina MYSQL Client
CC39;Apache httpd;Configuration;Need Apache configuration fixed;Need Apache configuration fixed
CC40;MySQL;Configuration;error 2003 hy000 cant connect to mysql server on 111;error 2003 hy000 cant connect to mysql server on 111
CC41;Apache httpd;Configuration;Undefined index: PATH_INFO;Undefined index: PATH_INFO
CC42;Apache httpd;Configuration;The internal links of the website all give 301 redirects to localhost;The internal links of the website all give 301 redirects to localhost
CC43;Apache httpd;Configuration;Can't not access apache server-status page when i add configuration for load balancing;Can't not access apache server-status page when i add configuration for load balancing
CC44;Apache httpd;Configuration;separate php error logs for each Apache vhosts;separate php error logs for each Apache vhosts
CC45;Apache httpd;Configuration;Mixing Subversion “SVNParentPath” and per-repository configurations;Mixing Subversion “SVNParentPath” and per-repository configurations
CC46;Apache httpd;Configuration;401 Unauthorized error when using Apache 2.4;401 Unauthorized error when using Apache 2.4
CC47;Apache httpd;Configuration;htaccess redirect loop only on one of two servers;htaccess redirect loop only on one of two servers
CC48;Apache httpd;Configuration;The proxy server could not handle the request GET /test/test.jsp.;The proxy server could not handle the request GET /test/test.jsp.
CC49;PostgreSQL;Configuration;How to integrate pgbouncer-1.4 with PostgreSQL -9.0 database;How to integrate pgbouncer-1.4 with PostgreSQL -9.0 database
CC50;Hadoop;Configuration;Prevent Ambari agent overwriting repo files;Prevent Ambari agent overwriting repo files
CC51;Hadoop;Configuration;Unable to configure ORC properties in Spark;Unable to configure ORC properties in Spark
CC52;Hadoop;Configuration;Spark Structured Streaming - This query does not support recovering from checkpoint location;Spark Structured Streaming - This query does not support recovering from checkpoint location
CC53;PHP;Configuration;dll in php “the specified module could not be found”;dll in php “the specified module could not be found”
CC54;PHP;Configuration;php-fpm fails after X requests;php-fpm fails after X requests
CC55;Apache httpd;Configuration;website stuck in redirect loop after using behind cloudflare;website stuck in redirect loop after using behind cloudflare
CC56;Apache httpd;Configuration;Apache returns empty response and must restart [closed];Apache returns empty response and must restart [closed]
CC57;PHP;Configuration;Installing imagick PHP extension on Ubuntu;Installing imagick PHP extension on Ubuntu
CC58;PHP;Configuration;PHP 5.4 on CentOS 5 - GD Not Working;PHP 5.4 on CentOS 5 - GD Not Working
CC59;Nginx;Configuration;Yet another PDO could not find driver issue;Yet another PDO could not find driver issue
CC60;PHP;Configuration;PDO installation not working? [closed];PDO installation not working? [closed]
CC61;Apache httpd;Configuration;Apache 2 mpm-itk and mpm-prefork modules together;Apache 2 mpm-itk and mpm-prefork modules together
CC62;Apache httpd;Configuration;Cannot specify Multiple error_log locations for Apache;Cannot specify Multiple error_log locations for Apache
CC63;Apache httpd;Configuration;Cannot make Apache errors logs written to the local disk and sent to syslog;Cannot make Apache errors logs written to the local disk and sent to syslog
CC64;Apache httpd;Configuration;Cannot have a separate apache daemon to run the reverse proxy;Cannot have a separate apache daemon to run the reverse proxy
CC65;Apache httpd;Configuration;Cannot load mod_version only if it isn't built in to apache;Cannot load mod_version only if it isn't built in to apache
