Bug-ID,Project,Classification,Summary,Description,Link,Enviroment
XALANC-11,XalanC,Other,Documentation comment for getVariable/getParamVariable incorrect," The comment attached to getVariable & getParamVariable in the VariablesStack class says: ""Given a name, find the corresponding XObject. Since the variable may not yet have been evaluated, this may return a null XObjectPtr."" However, this is not the case. Both functions will evaluate the variable if necessary and return a non-null return.",https://issues.apache.org/jira/browse/XALANC-11?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE
SVN-491,Subversion,Other,svn status' needs better error reporting,"Consider the following example:  $ ll total 26 drwxr-xr-x   8 brane    None         4096 Sep 16 03:37 SVN -rw-r--r--   1 brane    None         8994 Sep  6 21:23 berkeley-db.m4 -rwxr-xr-x   1 brane    None          448 Aug 31 23:45 get-neon-ver.sh -rwxr-xr-x   1 brane    None         2021 Aug 31 23:45 gnu-diff.sh -rwxr-xr-x   1 brane    None         1113 Aug 31 23:45 gnu-patch.sh -rwxr-xr-x   1 brane    None         2631 Aug 31 23:45 install.sh -rw-r--r--   1 brane    None         3929 Sep  6 22:09 svn-apache.m4 -rw-r--r--   1 brane    None          625 Aug 31 23:45 svn-macros.m4 $ svn status dodo         ## (1)  svn_error: #21026 : <Can't find an entry>  svn_client_status: 'dodo' is not a versioned resource $ touch dodo $ svn status dodo         ## (2)  svn_error: #21010 : <Bogus filename>  svn_wc_statuses:  bogus path `dodo' $ mv install.sh moved-install.sh $ svn status install.sh   ## (3) $ svn status              ## (4) _    108     (   108)  . _    108     (   108)  .\.svnignore _    108     (   108)  .\berkeley-db.m4 _    108     (   108)  .\get-neon-ver.sh _    108     (   108)  .\gnu-diff.sh _    108     (   108)  .\gnu-patch.sh _    108     (   108)  .\svn-apache.m4 _    108     (   108)  .\svn-macros.m4    (1) O.K., the error message is fine. (2) Wrong. Should either print the same message as (1), or print          ?  dodo         to be consistent with update. (3, 4) Definitely wrong. ""status"" should notice and report that the      working file of a versioned resource is missing.",https://issues.apache.org/jira/browse/SVN-491?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE
FOP-57,FOP,Other,Multolingual support in converting xml - pdf,"hi guys  i am using this fop tool to generate pdf from xml file.Everything is working for me well,except that i dont know how to go for multilinguial support.  Actually i need to insert some german characters in my pdf file ,which i need to put in my xsl file.  As of now it gives a runtime error saying xml char not supported.  Can anyone please tell me how to go about it.  I need to do it very urgently.please let me what iu should do to bring german characters in my pdf file.  Please do get back to me as soon as possible.  with regards vidhyakt",https://issues.apache.org/jira/browse/FOP-57?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE
VELOCITY-31,Velocity,Other,Velocity should provide an interface for explicit property retreival,"I think that there should be an interface with a method of something like  Object getVelocityProperty(String key);  that will provide for a way to manually determine what object to retrieve with a given property name. Currently, there is no good way to access hashtable- like structures without resorting to what essentially amounts to putting java code into the template. (i.e. ""$hash.get($key)"")...  Velocity should allow developers to implement an interface to get more control of velocity engine rendering, so that when the template calls for $obj.property, a check is made to see if an object is an instance of that interface. If not, the standard algorithm should be used to determine if this object has a getProperty() method. But if the object does implement the interface, Velocity would call getVelocityProperty(""property"") on it, and it would be up to the programmer to provide proper logic to return the property. (in a Hashtable wrapper, the method would contain one line:  return hash.get(key);  This will not only give the programmer more control and force them to pur less Java code into the template, but would also enable the developer to optimize the most frequently accessed types of objects for performance as it will reduce the need to perform reflection lookups.",https://issues.apache.org/jira/browse/VELOCITY-31?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE
SVN-2196,Subversion,Other,Translate svn-ref.tex to French,"I translated the Subversion quickref into French. Someone with better grammar skills probably needs to correct some mistakes and terms, and it's possible that some of the translations (""Working copy"" -> ""Bac ï¿½ sable"") which I pinched from various other sources (including Eclipse's CVS interface) are not the ones the French l10n team prefer to use.  Dave.  Original issue reported by bolsh",https://issues.apache.org/jira/browse/SVN-2196?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE
TOMAHAWK-363,My Face Tomahawk,Other,better customisation features for schedule component,"all css classes can now be overridden using component attributes ï¿½ I have completely rewritten the examples. There are now 4 of them, each demonstrating a different feature ï¿½ the themeing mechanism has changed: instead of using the theme id to determine which css file to load, the theme id is now added to the schedule div css class as a suffix: e.g. schedule-detailed-default, schedule-detailed-outlookxp, schedule-detailed-evolution, ... This makes it easier to use a custom theme: just copy the appriopriate content of the schedule.css file to your own css, and add a suffix to schedule-detailed and schedule-compact ï¿½ introduced the ScheduleEntryRenderer, which renders the content of a schedule entry. By writing an implementation of this interface, it is now possible to customize what is rendered inside a schedule entry. Using this mechanism, you can now also assign different colors to the entries of different persons. I think this is a better solution than the patch introduced by bug nr. 976. The changes to the ScheduleModel that were made here, are therefore undone with this patch ï¿½ fixed a bug in the AbstractScheduleModel that sometimes caused the schedule to contain 0 days after submitting. ï¿½ added a property to the ScheduleModel, entrySelected, which returns true if an entry is currently selected. This is a convenience method which can for example be used in the 'rendered' or 'disabled' flag of a component. ï¿½ added methods to add and remove entries to the ScheduleModel interface.",https://issues.apache.org/jira/browse/TOMAHAWK-363?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE
565,Batik - Now in Jira,Other,Add error printouts to rasterizer,"Message from Aaron Digulla: When there is an error in one of the SVG files, the rasterizer only prints ""error writing file"" without some explanation what is wrong. Can you please add a flag like -DIAG or something that prints the whole exception ? --",565,APACHE
71564,CDT,Other,TVT3.0: Missing link in CDT doc 'Debug Tutorial',"1. Go to C/C++ development User Guide 2. Expand ""Getting Started"" 3. Click on 'CDT Importing an Existing Project Tutorial' 4. Click 'Debugging Tutorial' The link cannot be found. See attached screenshot",https://bugs.eclipse.org/bugs/show_bug.cgi?id=71564,ECLIPSE
118981,Community,Other,Fix bugs in Phoenix css files and add support for greyed-out left nav menu items,"While browsing through the Phoenix CSS, I discovered some missing commas and some missing class qualifiers. This patch fixes those, plus it adds a couple items for my upcoming project-specific left nav items (see bug 118282). Specifically, it adds support for left nav items that are greyed-out because the project does not support that item yet.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=118981,ECLIPSE
130384,Community,Other,"""Top Ten Voted Bugs"" should include RESOLVED/LATER","The ""Top Ten Voted Bugs"" should also include RESOLVED/LATER. In particular, the following bugs should be on the list: * bug 37154 - [Team] Support for subversion (93 votes) * bug 72487 - [Browser] Allow Firefox as browser widget (86 votes)",https://bugs.eclipse.org/bugs/show_bug.cgi?id=130384,ECLIPSE
243559,Dali JPA Tools,Other,Exchanging entity objects contents when renaming a certain entity,"If I have a JPA project with two or more JPA entities in it and I rename one of the entities, the result is that not only the corresponding underlying GenericJavaPersistentType object is renamed, but all the GenericJavaPersistentType objects are renamed in random manner and in result all these objects are becoming some other objects - they've exchanged their names and attributes. It sounds a little bit unclear, so please follow the steps described below to reproduce it. 1. Start IDE 2. Create a new 'Eclipse application' debug configuration and start it 3. In the debugged IDE open Java EE perspective 4. Create a new JPA project 5. In the first open IDE, in org.eclipse.jpt.core.internal.context.java.GenericJavaPersistentType put a break point at the beginning of the method 'setName(...)' 6. Create two (or more) JPA entities in this project and memorize or write down the debug ids of the newly created GenericJavaPersistentType objects 7. In the project explorer right-click of one of the entities source and select 'Refactor->Rename' 8. Rename the chosen entity with some new valid name Result: You will notice that not only the selected entity is renamed, but all of the entities are renamed. Something more - they will be renamed randomly with the new and old names. At the end of this you will have a consistent set of GenericJavaPersistentType objects, but with exchanged names (and attributes) For example: Let's say that after creation we have two entities: E1 - debug id: 169 E2 - debug id: 184 After renaming E1 to E111 we will have: E111 - debug id: 184 E2 - debug id: 169 (E1 became E2 and E2 became E111) NOTE: Sometimes all the entities are renamed exactly in the way they have to be renamed E1 becomes E111 and E2 becomes E2, so you may have to repeat the steps with the other object to reproduce the problem. It's a big blocker for my work, because I'm implementing a software module, which requires the PersistentType objects to stay the way they are - not to ""become some other"" objects. I'll try to implement a JUnit test ASAP which catches the problem.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=243559,ECLIPSE
460657,ECP,Other,No Error on Missing View Model in Debug Mode,Missing view model in view model extension point in debug mode does not show any error.,https://bugs.eclipse.org/bugs/show_bug.cgi?id=460657,ECLIPSE
268443,Java Server Faces,Other,FacesConfig Editor preferences page needs more info for screen readers,"Version: 3.4.1, Build ID: M20080911-1700 Steps To Reproduce: 1) Create a Web project with the JavaServer Faces configuration. 2) Open the Preferences dialog and go to Web -> JavaServer Faces Tools -> FacesConfig Editor. 3) If you tab around the options on this page, Window-Eyes 6.1 and Microsoft Inspect Objects don't have enough information to fully describe these controls. - ""Canvas"", ""Icons"" and ""Connection Lines"" (the section labels) are never read by the screen reader at all. - Background color & Grid Color (under Canvas) are read as just ""Color Selector"" (something like ""Grid Color - Color Selector"" would be more helpful so you know what color you're setting). The same problem exists with Label color & Line color under Connection Lines. - ""Label font: [label]"" under Connection Lines is never read. Only ""Change"" (the button label) is, so it's hard to know what this button will change. The same problem exists with ""Label font: [label]"" under Icons. These are accessibility issues.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=268443,ECLIPSE
145412,z_Archived,Other,README: Add readme item for Log Import problem on iSeries V4R5 (bugzilla 126792),Bugzilla 126792 reported a log import timeout problem on an iSeries V4R5 system. A readme item should be added for this problem,https://bugs.eclipse.org/bugs/show_bug.cgi?id=145412,ECLIPSE
157858,Bugzilla,Other,review: Add support for Insiders; Private comments; Private Attachments; Patch for July 12 tip,"Joel Peshkin <bugreport@peshkin.net> has requested review for bug #143826: Add support for Insiders, Private comments, Private Attachments, attachment #91216 [details] [diff] [review]: Patch for July 12 tip. http://bugzilla.mozilla.org/attachment.cgi?id=91216&action=edit Additional Comments from Requester: Changes as noted in prior review have been incorporated",157858,MOZILLA
157886,Bugzilla,Other,review: Bugzilla should support translated/localized templates; Eighth version: Whitespace fixes; remove ($) prototyping,"Tobias Burnus <burnus@gmx.de> has requested review for bug #126955: Bugzilla should support translated/localized templates, attachment #88445 [details] [diff] [review]: Eighth version: Whitespace fixes, remove ($) prototyping. http://bugzilla.mozilla.org/attachment.cgi?id=88445&action=edit Additional Comments from Requester: Please review. Note that this shouldn't prevent a more sophisticated approches since the defprefs 'languages' and 'defaultlanguages' and also the HTTP Accept Language header part should be rather generic.",157886,MOZILLA
172878,Bugzilla,Other,review: Enhancements to generic reporting; Patch v.3,"Gervase Markham <gerv@mozilla.org> has requested review for bug #171437: Enhancements to generic reporting, attachment #101892 [details] [diff] [review]: Patch v.3. http://bugzilla.mozilla.org/attachment.cgi?id=101892&action=edit Additional Comments from Requester: Try this for size :-) Gerv",172878,MOZILLA
6278,Core,Other,(feature) List properties needs to be implemented,using 5/11 build of apprunner. The following functionality needs to be implemented for editor implement character properties implement paragraph properties,6278,MOZILLA
102252,Core,Other,Add CS Styles for Ethiopian/Eritrean Languages,"From Bugzilla Helper: User-Agent: Mozilla/4.7 [en] (X11; U; Linux 2.2.13-7mdk i686) BuildID: 20010927 This is a feature request for support of ordered list styles used in Ethiopic script by Ethiopian and Eritrean languages. Reproducible: Always Steps to Reproduce: 1. view a web page with an am_ET locale setting. 2. n/a 3. Actual Results: appears in english style Expected Results: Amharic style is requested I've put together some documentation on how ordered lists are expected to work here: http://www.ethiopic.org/Collation/OrderedLists.html An Unicode 3.0 compliant font is required to read the html file, a font with Ethiopic and Roman chars that is suitable is here: http://www.senamirmir.com/download/jiret.zip",102252,MOZILLA
