class,pred1,pred2,equals,Summary,Description,Enviroment
Other,Other,Other,True,Documentation comment for getVariable/getParamVariable incorrect," The comment attached to getVariable & getParamVariable in the VariablesStack class says: ""Given a name, find the corresponding XObject. Since the variable may not yet have been evaluated, this may return a null XObjectPtr."" However, this is not the case. Both functions will evaluate the variable if necessary and return a non-null return.",APACHE
Other,Other,Other,True,svn status' needs better error reporting,"Consider the following example:  $ ll total 26 drwxr-xr-x   8 brane    None         4096 Sep 16 03:37 SVN -rw-r--r--   1 brane    None         8994 Sep  6 21:23 berkeley-db.m4 -rwxr-xr-x   1 brane    None          448 Aug 31 23:45 get-neon-ver.sh -rwxr-xr-x   1 brane    None         2021 Aug 31 23:45 gnu-diff.sh -rwxr-xr-x   1 brane    None         1113 Aug 31 23:45 gnu-patch.sh -rwxr-xr-x   1 brane    None         2631 Aug 31 23:45 install.sh -rw-r--r--   1 brane    None         3929 Sep  6 22:09 svn-apache.m4 -rw-r--r--   1 brane    None          625 Aug 31 23:45 svn-macros.m4 $ svn status dodo         ## (1)  svn_error: #21026 : <Can't find an entry>  svn_client_status: 'dodo' is not a versioned resource $ touch dodo $ svn status dodo         ## (2)  svn_error: #21010 : <Bogus filename>  svn_wc_statuses:  bogus path `dodo' $ mv install.sh moved-install.sh $ svn status install.sh   ## (3) $ svn status              ## (4) _    108     (   108)  . _    108     (   108)  .\.svnignore _    108     (   108)  .\berkeley-db.m4 _    108     (   108)  .\get-neon-ver.sh _    108     (   108)  .\gnu-diff.sh _    108     (   108)  .\gnu-patch.sh _    108     (   108)  .\svn-apache.m4 _    108     (   108)  .\svn-macros.m4    (1) O.K., the error message is fine. (2) Wrong. Should either print the same message as (1), or print          ?  dodo         to be consistent with update. (3, 4) Definitely wrong. ""status"" should notice and report that the      working file of a versioned resource is missing.",APACHE
Other,Other,Other,True,Multolingual support in converting xml - pdf,"hi guys  i am using this fop tool to generate pdf from xml file.Everything is working for me well,except that i dont know how to go for multilinguial support.  Actually i need to insert some german characters in my pdf file ,which i need to put in my xsl file.  As of now it gives a runtime error saying xml char not supported.  Can anyone please tell me how to go about it.  I need to do it very urgently.please let me what iu should do to bring german characters in my pdf file.  Please do get back to me as soon as possible.  with regards vidhyakt",APACHE
Other,Other,Other,True,Velocity should provide an interface for explicit property retreival,"I think that there should be an interface with a method of something like  Object getVelocityProperty(String key);  that will provide for a way to manually determine what object to retrieve with a given property name. Currently, there is no good way to access hashtable- like structures without resorting to what essentially amounts to putting java code into the template. (i.e. ""$hash.get($key)"")...  Velocity should allow developers to implement an interface to get more control of velocity engine rendering, so that when the template calls for $obj.property, a check is made to see if an object is an instance of that interface. If not, the standard algorithm should be used to determine if this object has a getProperty() method. But if the object does implement the interface, Velocity would call getVelocityProperty(""property"") on it, and it would be up to the programmer to provide proper logic to return the property. (in a Hashtable wrapper, the method would contain one line:  return hash.get(key);  This will not only give the programmer more control and force them to pur less Java code into the template, but would also enable the developer to optimize the most frequently accessed types of objects for performance as it will reduce the need to perform reflection lookups.",APACHE
Other,Other,Other,True,Translate svn-ref.tex to French,"I translated the Subversion quickref into French. Someone with better grammar skills probably needs to correct some mistakes and terms, and it's possible that some of the translations (""Working copy"" -> ""Bac ï¿½ sable"") which I pinched from various other sources (including Eclipse's CVS interface) are not the ones the French l10n team prefer to use.  Dave.  Original issue reported by bolsh",APACHE
Other,Other,Other,True,better customisation features for schedule component,"all css classes can now be overridden using component attributes ï¿½ I have completely rewritten the examples. There are now 4 of them, each demonstrating a different feature ï¿½ the themeing mechanism has changed: instead of using the theme id to determine which css file to load, the theme id is now added to the schedule div css class as a suffix: e.g. schedule-detailed-default, schedule-detailed-outlookxp, schedule-detailed-evolution, ... This makes it easier to use a custom theme: just copy the appriopriate content of the schedule.css file to your own css, and add a suffix to schedule-detailed and schedule-compact ï¿½ introduced the ScheduleEntryRenderer, which renders the content of a schedule entry. By writing an implementation of this interface, it is now possible to customize what is rendered inside a schedule entry. Using this mechanism, you can now also assign different colors to the entries of different persons. I think this is a better solution than the patch introduced by bug nr. 976. The changes to the ScheduleModel that were made here, are therefore undone with this patch ï¿½ fixed a bug in the AbstractScheduleModel that sometimes caused the schedule to contain 0 days after submitting. ï¿½ added a property to the ScheduleModel, entrySelected, which returns true if an entry is currently selected. This is a convenience method which can for example be used in the 'rendered' or 'disabled' flag of a component. ï¿½ added methods to add and remove entries to the ScheduleModel interface.",APACHE
Other,Other,Other,True,No support for Apache 2.2 yet,"See http://article.gmane.org/gmane.comp.apache.mod-python.devel/1425 for some remarks by Jorey Bump, raised during the 3.2.1-BETA tests.",APACHE
Other,Other,Other,True,document JUnit pitfalls,"SOMEONE CAN ADAPT THIS AS THEY WISH: You try to run some JUnit tests on an Axis client that invokes a web service, and you always get this exception: java.lang.ExceptionInInitializerError at org.apache.axis.client.Service.<init>(Service.java:108) ... Caused by: org.apache.commons.logging.LogConfigurationException: ... org.apache.commons.logging.impl.Jdk14Logger does not implement Log at org.apache.commons.logging.impl.LogFactoryImpl.newInstance (LogFactoryImpl.java:555) ...  Actually, Jdk14Logger does implement Log. What you have is a JUnit classloading issue. JUnit's graphical TestRunner has a feature where it will dynamically reload modified classes every time the user presses the ""Run"" button. This way, the user doesn't need to relaunch the TestRunner after every edit. For this, JUnit uses its own classloader, junit.runner.TestCaseClassLoader. As of JUnit 3.8.1, confusion can arise between TestCaseClassLoader and the system class loader as to which loader did or should load which classes.  There are two ways to avoid this problem.      Sure and simple fix. Turn off dynamic class reloading by running     junit.swingui.TestRunner with the -noloading argument.      Finicky and fancy fix, only necessary if you want dynamic class reloading.     Tell TestCaseClassLoader to ignore certain packages and their sub-packages,     deferring them to the system classloader. You can do this using a file located     in junit.jar, junit/runner/excluded.properties. Its content appears as follows:     #      The list of excluded package paths for the TestCaseClassLoader     #     excluded.0=sun.*     excluded.1=com.sun.*     excluded.2=org.omg.*     excluded.3=javax.*     excluded.4=sunw.*     excluded.5=java.*     excluded.6=org.w3c.dom.*     excluded.7=org.xml.sax.*     excluded.8=net.jini.*  Copy this file, preserving the directory path, into another location, e.g. deployDir. So the copied properties file's path will be deployDir/junit/runner/excluded.properties. Add an extra entry to the end of this file: excluded.9=org.apache.*  Edit your classpath so that deployDir appears before junit.jar. This way, the modified excluded.properties will be used, rather than the default. (Don't add the path to excluded.properties itself to the classpath.)  This fix will prevent the commons-logging exception. However, other classloading problems might still arise. For example: Dec 10, 2002 7:16:16 PM org.apache.axis.encoding.ser.BeanPropertyTarget set SEVERE: Could not convert [Lfoo.bar.Child; to bean field 'childrenAsArray', type [Lfoo.bar.Child; Dec 10, 2002 7:16:16 PM org.apache.axis.client.Call invoke SEVERE: Exception: java.lang.IllegalArgumentException: argument type mismatch at org.apache.axis.encoding.ser.BeanPropertyTarget.set (BeanPropertyTarget.java:182) at org.apache.axis.encoding.DeserializerImpl.valueComplete (DeserializerImpl.java:284) ...  In this case, you have no choice but to give up on dynamic class reloading and use the -noloading argument.  One other heads-up about JUnit testing of an Axis web service. Suppose you have run JUnit tests locally on the component that you want to expose as a web service. You press the ""Run"" button to initiate a series of tests. Between each test, all your data structures are re-initialized. Your tests produce a long green bar. Good.  Suppose you now want to run JUnit tests on an Axis client that is connecting to an application server running the Axis web application and with it your web service. Between each test, JUnit will automatically re-initialize your client.  Your server-side data structures are a different matter. If you're checking your server data at the end of each test (as you should be) and you run more than one test at a time, the second and later tests will fail because they are generating cumulative data on the Axis server based on preceding tests rather than fresh data based only on the current one.  This means that, for each test, you must manually re-initialize your web service. One way to accomplish this is to add to your web service interface a re-initialize operation. Then have the client call that operation at the start of each test.",APACHE
Other,Configuration Bug Report,Configuration Bug Report,False,"Need to increase the maximum buffer size for HTTP header from 16k to 64k,","Currently the maximum buffer size for HTTP headers in the native JK connector is 16k. However, this size is not sufficient in case the HTTP header is larger than 16k (i.e. large Kerberos Tickets). If such a case arises an error of the type ï¿½[error] jk_isapi_plugin.c (1135): failed to init service for requestï¿½ gets raised. For this reason the maximum buffer size, which currently is hard- coded to 16k, must be increased to 64k.",APACHE
Other,Other,Other,True,Add error printouts to rasterizer,"Message from Aaron Digulla: When there is an error in one of the SVG files, the rasterizer only prints ""error writing file"" without some explanation what is wrong. Can you please add a flag like -DIAG or something that prints the whole exception ? --",APACHE
